Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
10/06/2019 12:17:04,Deniz,Borderland Playpark,"A play-park where bored borderlings may seek refuge to play away the day. There will be a volleyball net and balls, baseball rackets, fotball, frisbees, tennis rackets, kubb and so on provided, and its open 24/7.",Games,Yes 🧸,15:00:00,24:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",Playpark,all-day
14/06/2019 05:35:01,Verena,Your Secret Pen Pal,"Connect with a random borderling through letters alone. A pen pal friendship can be anything: to share, to fantasize, to be silly or to be earnest. It's up to you whether you ever reveal your true identity. Open 24/7 in the Post Office. ",Games,Yes 🧸,00:00:00,24:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",[re]connect,all-day
15/06/2019 13:07:32,Camp Carnifornication,La Belle Époque,"La Belle Époque is an absinthe themed bar. A place where you can relax and travel back in time to the golden age of absinthe. Take a break from the dancing and frolicking to enjoy a refreshing drink, engaging conversation and a warm, mysterious atmosphere.",Party/Gathering,🤷‍♀️,20:00:00,4:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26.",Belle Époque Absinthe Bar,
18/06/2019 09:37:40,Mama vikinga,Walk of Runes,"Runes that were once symbols of communication in the Nordic countries and among Vikings, were also part of the ancient spirituality of the north. In this walk of runes we connect with the deeper meaning and energy of the runes. The Walk of Runes is sometimes described as the qi gong of the north. Join us for a spiritual walk with Nordic traditions.",Workshop/Class,Yes 🧸,12:00:00,1:00:00,"Wednesday 24., Friday 26.",The FLOWer Garden,
18/06/2019 09:49:08,Slippery,Water Nation Slippery Slope Party,"Always be yourself, if you can't be a mermaid then always be a mermaid. <3 Join us for the most slippery get-together of Borderland! Splash!",Party/Gathering,Yes 🧸,14:00:00,2:00:00,Friday 26.,"Water Nation, Elements Village",
18/06/2019 12:22:20,Aqua,An adventure in the imagination,"Partake in the greatest honey heist the world has ever seen, burn down a city trying to sneak into it, duel with haikus, or hijack loose magic from the major arcana - it’s your choice! Let’s play some super simple role-playing games and go on an adventure in our minds and fantasy together!",Games,Yes 🧸,16:00:00,1:00:00,"Tuesday 23., Thursday 25., Saturday 27.",Feywild,
18/06/2019 13:21:21,Pan,Maslow's Tent,"Flow through all the levels of Maslow's Pyramid in this tent. Your basic needs will be fulfilled (food, drinks), there will be loving friends (music and hooka), but you will also be challenged (escape room), and ultimately you can reach self fulfillment by joining our lectures and activities. ",Games,Yes 🧸,15:00:00,0:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26.",Maslow's Pyramid,
19/06/2019 07:19:48,Andreas,Shibari stones workshop ,"1. Find a stone. 
2. Find a stick. 
3. Tie your own Borderland souvenir.

*Group size: 
Average 6 persons at the same time.
*Skill level: 
Easy. No previous experiences or talents needed.

Extra workshops could be arranged according to agreement. Maybe in your camp?
[For further tips, inspiration and questions](
http://www.instagram.com/shibaristones/)",Workshop/Class,Yes 🧸,10:00:00,1:00:00,"Wednesday 24., Thursday 25., Friday 26.",Kidsville,
27/06/2019 16:08:29,Ingela,Butterfly Effect Yoga/Dance/Breathwork/Capoeira,"Cocoon yourself in our **meditation**, **massage** and **breathwork** workshops. Or spread your wings in **capoeira** and **yoga** workshops. Play in **ecstatic dance** with other beautiful butterflies and make a change in yourself and the world.",Workshop/Class,Yes 🧸,14:00:00,1:00:00,"Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",Butterfly effect camp, 
27/06/2019 20:04:31,Ingela,Butterfly Effect Cocktail Hour,"Welcome to a **blasting mini-party**, which lasts for a short time only - much like the life of a butterfly. But the time it exists, it is bubbling, alive and full of energy. ",Party/Gathering,Yes 🧸,16:00:00,2:00:00,"Tuesday 23., Wednesday 24., Thursday 25.",Butterfly effect camp,
19/06/2019 12:38:52,Emese,Chakra Dance,"Suppressed emotions can create blockages in the Chakras, leading to emotional and physical discomfort. In the first part of the Chakra Dance workshop we will shed the light of our Loving AWARENESS onto these suppressed emotions and in the second part, we let go of these stuck energies through INTENTION and DANCE, inviting in emotions that support us in our growth.",Workshop/Class,🤷‍♀️,09:00:00,1:10:00,"Tuesday 23., Wednesday 24., Friday 26., Saturday 27.",[re]connect,
19/06/2019 19:56:47,Queen K ,Squirmy Serpents,It’s time to get **squirmy**! Queen K & friends are here to serve you and your body an experience it’s been longing for since it came into this world. Look out for Queen K and her latex sheets and you let yourself be seduced by the slimy bottle of Nurugel that she is carrying. It will be an experience you won’t forget! This is a full-on nudity snake pit (with no sexual interactions). ,Ritual/Ceremony,Nooooope 💦,00:00:00,1:00:00,Friday 26.,"Beach, Silly Sanctuary & Secret Locations ",all-day
20/06/2019 21:40:37,Chip,Mankini dance maraton,"Mankini is included in the event (15 to gift, so be quick!)",Performance,Nooooope 💦,17:00:00,2:00:00,Wednesday 24.,RV camp (Outer Bass Ship),
20/06/2019 21:42:29,Elfwings,"World and Oriental deep house sounds, dancy warmup for the night!","Is it late afternoon, evenininISH? Is it the right time to warm up and shake your booty, getting ready for the night! Come to the chilldome to get a fresh breeze: charge for the night and listen to our selection of the DJ BL population :) Variety assured! They are ready to shake you with Oriental sounds, world music, afro jazz, a mix of uprising tunes & nice people! Come have a look, its free!",DJ/Music,🤷‍♀️,18:30:00,4:00:00,"Monday 22., Tuesday 23., Wednesday 24., Saturday 27.",Psychonautic Chilldome,
20/06/2019 21:43:11,Chip,Solar Sound System,"Loud electronic music stage, All power generated by the sun.",Party/Gathering,Yes 🧸,17:00:00,2:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",RV Camp (Outer Bass Ship),
20/06/2019 21:53:47,Elfwings,Flowy ecstatic set & Fire spinning ,"It is the time of the night when you would like to get your probs, led or fire, and flow your a** off? Psychonautic chilldome is the answer:) We couple our magic psy-dub, psy-chill, downtempo & downtemple DJS with the firespinners & flow space : what an explosive mix!! Don't have a probe but you love to flow? Come to try or you want just to dance and flow freely? We'd love to have you <3 ",DJ/Music,🤷‍♀️,22:30:00,4:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Saturday 27., Sunday 28.",Psychonautic Chilldome,
20/06/2019 22:04:02,Elfwings,"Psybient, Ambient, experimental sessions ","This is the moment to travel in the inner space of your mind, let the sounds open new orizons, follow the waves of psychedelic tunes, reverberate with them, get lost and find your self back. Come to rest, connect, relax, enjoy at the fullest the cosiness of the Psychonautic chilldome and the creatures, travellers, visitors populating it. Expand your connections and yourself, Enjoy...",DJ/Music,Nooooope 💦,02:00:00,3:00:00,"Monday 22., Tuesday 23., Wednesday 24., Saturday 27., Sunday 28.",Psychonautic Chilldome,
23/06/2019 21:14:48,Jack Shoe & Hana Cane,Opening The Wet Baguette,"*anyhow*, as I was rambling through those lone woods on Starless night, I met this crow, large as a hound, with the Mouth of a frog instead of a Beak, and eyes of a frog too, instead of usual crow Eyes. He uttered a feeble growl and flew into myself, spilling my pint of gravel Beer. 

 come have a drink, Cunt, the bar is Open. ",Party/Gathering,🤷‍♀️,15:00:00,3:00:00,Tuesday 23.,You'll find'll it.,
23/06/2019 21:20:04,Jack Shoe & Hana Cane,The Temple Burn,"Closing ritual of The Borderland 2019. **Be there.**

The temple will not burn (it will stay for *a thousand* years.) ",Ritual/Ceremony,Yes 🧸,14:00:00,2:00:00,Sunday 28.,The Temple of Токамáк ,
09/07/2019 11:11:59,The Thinking Hands,Theatre of Touch,"In our mini theatre we create 1:1 performances where you will have your eyes closed and experience a story through all other senses. 

We will caress you with hands, objects, fluids, foods, whispers, songs, and scents. Come and feel landscapes on your body, taste rain in a vanilla plantation, and hear the songs of baby grasshoppers.

SCHEDULE & BOOKING DIRECTLY AT THEATRE OF TOUCH",Performance,Yes 🧸,00:00:00,24:00:00,"Tuesday 23., Wednesday 24., Thursday 25., Friday 26.",Ygeia,Event runs all-day
02/07/2019 12:13:55,Jon don Poncho,Trance Dance,Are you ready to dive deep within? On a blindfolded quest for answers and healing? Riding on the beat of the drum as we go down our own rabbit hole. We provide a safe space where shit is allowed to hit the fan.,Workshop/Class,Nooooope 💦,16:00:00,1:40:00,Wednesday 24.,Bodyland,
25/06/2019 07:26:40,Kimsyvimsy,Introduction to the 10 principles ,New to the burner community? Or just feel like diving deeper into the 10 principles? I will give you my interpretations and we will pursue them in a playful way together.,Workshop/Class,Yes 🧸,14:15:00,1:30:00,Tuesday 23.,The Clear Frequency,
25/06/2019 14:38:49,Naked Man,Clothing Optional Meditation,"Come be who you want to be, with or without clothes.

We will do a 20 minute mindfulness meditation where everyone is invited but not forced to take off their clothes followed by a brief discussion.

No touching, every person for himself",Workshop/Class,Nooooope 💦,12:15:00,0:45:00,Wednesday 24.,The Clear Frequency,
26/06/2019 11:38:12,Marre,Finding my direction through *loneliness*,"Come and explore the terrifyingly exciting thing we call **loneliness**. When sinking down deep, you might find what you didn’t know you were looking for. This will be explored eyes closed, listening to our bodies in a meditative way. This workshop is held by a Psychologist. It requires silence, and it shouldn't be interrupted by late comers.",Workshop/Class,Nooooope 💦,16:30:00,2:00:00,Thursday 25.,[re]connect: Camp Inside // out,
26/06/2019 12:05:47,Daniel,Melodic Techno/House at the Edge,"Four awesome DJs will perform from 8pm to 4am at the Edge, playing electronica ranging from downtempo at the beginning, to tech house at the end, with at least 4 solid hours of melodic techno and house in the middle. Please note that the Edge camp is sex-positive and and sex-friendly, and people may get jiggy with it in your vicinity!",DJ/Music,Nooooope 💦,20:00:00,8:00:00,Friday 26.,The Edge,
12/07/2019 09:58:43,Kimsyvimsy,Soft morning movement meditation,"We will get ready to meet the day by tuning in to our body and mind. Times will vary a bit. Wednesday, we start 10:15. Sat&sun we start 11.00.",Workshop/Class,Yes 🧸,10:30:00,0:30:00,"Tuesday 23., Wednesday 24., Friday 26., Saturday 27., Sunday 28.",The Clear Frequency,
26/06/2019 12:38:20,Ossi,Blindfold contact improvisation jam,Moving bodies with contact blindfolded.,Workshop/Class,Nooooope 💦,14:15:00,1:30:00,Friday 26.,The Clear Frequency,
04/07/2019 13:53:48,Newman & Cecilie,Lady Cacao's Secret Chamber,"Will you enter the Secret Chamber? Find a keygiver to see if Lady Cacao chooses you. Once inside, drink ceremonial cacao and take an empowering journey to release a deep fear and welcome in new dreams. A tender, vulnerable and fierce cacao ceremony. (IMPORTANT: you must have a key to enter the Secret Chamber. Check the Borderland FB group in the week before Borderland to find out how.)",Ritual/Ceremony,Nooooope 💦,14:00:00,2:30:00,Wednesday 24.,[re]connect,
26/06/2019 14:20:25,Inside // Out,(Anti) Social Recharge Space,"Borderland is intense. At the (Anti) Social Recharge Space you can recharge and land back in yourself. During the Hours of Introversion we hold a space where you can be alone while sharing space with others. Our cosy space contains books, teddy bears, crafts materials and other things for you to enjoy solo. You’re also welcomed to bring your journal, iPod or anything else you enjoy doing alone.",Care/Support,🤷‍♀️,13:30:00,2:30:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",[re]connect,
28/06/2019 18:36:15,DJ Rêves,down the rabbit hole,"Down down down … wonderous rabbit hole … lie back and enjoy, see what you see, hear what you hear … let me entrance you with a silent disco platter of sacred chants, psychedelic tunes and strange sounds …  I provide the main course, please bring your own sauce,",DJ/Music,Nooooope 💦,20:00:00,1:30:00,Tuesday 23.,[re]connect,
28/06/2019 18:37:24,Cecilie / Bodil / Newman,The Empty Space,"Step into the empty space and welcome whatever comes. Anyone can step forward and facilitate a session. Anyone can participate. Imagine an open mic for facilitators combined with a journey into the unknown and you’re halfway there. Who knows, maybe you’ll surprise yourself (and us)? Come and be part of it!",Workshop/Class,Yes 🧸,16:30:00,2:00:00,Friday 26.,Inside // Out tent at [re]connect,
26/06/2019 17:19:58,Avner,Angel Walk,"Touch is a basic human need. It can soften our emotional shields and melt our sense of isolation. In this workshop each of us will step, eyes closed, into the path of angels, and while slowly walking will receive unconditionally loving touch from the rest of the participants. At the end of this walk, most people feel a sense of lightness, open heartedness, and communion. 20 ppl min.",Workshop/Class,Yes 🧸,19:00:00,2:00:00,Tuesday 23.,The Clear Frequency,
26/06/2019 19:10:10,Louise,Edible Plants Walk,We will take a walk in the festival area / forest to look for edible plants near by. You will learn to recognize some common wild plants that you can eat. Max 12 participants.,Workshop/Class,Yes 🧸,15:10:00,0:40:00,Wednesday 24.,Some place where it is easy to gather 12 people and find each other. You can decide! I am not in an officia camp and a first time borderlander,
26/06/2019 21:15:05,Daniel,Participatory meditation,"Half-improvised participatory meditation with a ritual framing. It will include both movement, stillness and we will make use of the surroundings (including each other) The workshop might happen in the workshop tent or on top of the nearby hill (or it might start in the tent and move to the hill). Participants are invited to co-create and add something of their own.",Ritual/Ceremony,Nooooope 💦,14:15:00,1:00:00,Thursday 25.,The Clear Frequency,
29/06/2019 23:31:43,Maarja,Connection Process,"Connection process is a form of intuitive journeying. You'll be sitting still facing another person, as if meditating, and your consciousness is going to intentionally project itself into their inner universe via looking into their eye. It's a multisensory experience and the more present/perceptive you are, the more you will be able to listen with all your senses. Max 12 ppl. Spiritual Nomads tipi",Workshop/Class,Nooooope 💦,15:00:00,2:00:00,Thursday 25.,[re]connect,
30/06/2019 21:48:35,Maarja/Helle,Blindfolded nature walk,"You will be in pairs, with one person's eyes blindfolded and the other guiding (then change). We will go on an exploratory walk in the nature to experience the surroundings. Having no visual input and no verbal communication will strengthen all the other senses and create trust for being guided. Meet-up at Spiritual Nomads tipi in (re)connect camp. Max 12 participants, 6 pairs. Bring a blindfold!",Ritual/Ceremony,Nooooope 💦,13:00:00,1:00:00,Tuesday 23.,[re]connect,
30/06/2019 12:51:07,Rebecca,Ecstatic Dance Dive,"Ex-stasis' means to expand beyond limitations ... let's dance, sweat, and shake ourselves free - together! Bring your feet and your breath, hips, and heart ... we'll journey from gentle, grounding flow to high energy, ecstatic release, drinking deep from the cup of human connection. Family friendly - children over 12 welcome.",Workshop/Class,Yes 🧸,21:00:00,2:00:00,Tuesday 23.,Bodyland,
10/07/2019 20:32:23,Painter,Touch Topology,"Touch Topology uses touch and music to explore the global and personal landscapes of body, thought, space and time. Smirja will perform using her body landscape. Quite and sensual ",Performance,Nooooope 💦,17:30:00,0:30:00,Monday 22.,The Clear Frequency,
27/06/2019 12:13:11,Painter,Par de deux de croquis,Sensual Croquis with a male and female model choreographed performance to music. Bring papper and pencil or just come and watch two bodies form into one beautiful being,Performance,Nooooope 💦,17:00:00,0:40:00,Tuesday 23.,The Clear Frequency,
27/06/2019 12:33:56,Peter Mulvany,Silly Sensation Food Performance,"Tickle your senses with food, drink, sound, smell and (non-sexual) touch. Close your eyes and enter the realm of your senses on this journey taking you through the four basic tastes, soothing ASMR sounds, illusion of touch and smells awakening you oldest memories.

As you enter you will be undressed by the three performers and blindfolded with a partner. Bring your own cup.",Workshop/Class,Nooooope 💦,11:00:00,1:00:00,Wednesday 24.,The Edge,
27/06/2019 12:56:14,Peter Mulvany,Trash to Treasure welcome introduction,All trashers at Trash to Treasure container site are welcome to join this introduction learning how to guide borderlings arriving with their sorted trash. We teach you what a correct sorting is and how to help Borderlings place trash correctly in the containers.,Workshop/Class,Yes 🧸,10:00:00,1:00:00,"Monday 22., Tuesday 23.",Trash to Treasure container site,
27/06/2019 13:18:40,Nikolaj / Eros,Orgy for quick cummers,Quick cummers have orgies too. The play party is exclusiely for quick cummers. ,Party/Gathering,Nooooope 💦,01:11:00,0:01:11,Tuesday 23.,Shadow bunnies,
27/06/2019 13:11:20,Marco,Dynamic Qi Gong,"In this session we will expand our body awareness with gentle movements to warm up our body,  we will massage and activate it using Shiatsu principles, and then we will gradually go into more dynamic movements. We will use different techniques of Qi Gong, as Yin style, Malaysian Style, and Five Animals Vietnamese style, to engage into a dynamic group session. ",Workshop/Class,🤷‍♀️,08:30:00,1:30:00,Wednesday 24.,Bodyland,
27/06/2019 13:21:02,Marco,Thai Tantsu Mindful Group Massage Session,"We will use the care and the sensitive touch coming from Aquatic Bodywork, and the gentle stretches and acupressure techniques from Thai Yoga Massage, to connect with our partner and give a gentle and mindful full body massage. The group will receive guidance through the session and Givers will have time to connect with Receivers at their own time and at their own rhythm. 
",Workshop/Class,Yes 🧸,16:30:00,3:00:00,Friday 26.,Bodyland,
27/06/2019 20:52:53,Yulia ,Sue your friends!,"We are here to offer a once in a lifetime chance to put your friends on trial!
Your camp mates made a shitty dinner? The yoga workshop was too hippie? The couple next to you is not making enough noise (wait, what?!?)? 
Bring them here!
Speed dating is so 1996, we are going to have speed trials!
Max 10 min to introduce your case and have a quick verdict.
",Workshop/Class,Yes 🧸,16:00:00,3:00:00,Wednesday 24.,The Supreme Court of The Borderland,
27/06/2019 22:11:47,Katja, PlemPlem Black Light Lounge ,"Visit the lounge, chill and relax by day or be a part of the beautiful art supported by music by night. This Ultraviolet (UV) world is full of glowing wonders and impressions.
Be part of it and co-create an UV painting with other Borderlings.  This location supports your journey through the Borderland. We host workshops.",Party/Gathering,Yes 🧸,00:33:00,43:00:00,"Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",PlemPlem,Event runs all-day
27/06/2019 22:10:27,Anton,Making good decisions,"People misunderstand and get things wrong. Not just wrong, but reliably wrong. There is a structure to human ignorance. Psychologists, including Nobel prize winners Daniel Kahneman and Richard Thaler hasve explored when and how we make bad decisions. Learn which these are and how you want to treat yourself and other differently as a consequence",Workshop/Class,Yes 🧸,10:30:00,0:40:00,Tuesday 23.,The coulor café,
27/06/2019 22:23:07,Anton,Meet you inner child meditation,30 minute guided meditation where you get to visit your inner world,Workshop/Class,Yes 🧸,12:00:00,0:30:00,Thursday 25.,The coulor café,
27/06/2019 22:30:02,Anton,36 questions of love,"36 questions of love was the most clicked article in New York Times in 2015. The psychologist Arthur Aron has explored how intimacy between two persons can be accelerated by having them ask each other a specific series of personal questions. The 36 questions are broken up in three sets, each more probing than the other. Join this workshop and explore if you can get close to ANYONE",Workshop/Class,🤷‍♀️,15:00:00,1:00:00,Wednesday 24.,The colour café,
27/06/2019 22:41:28,Anton,Tantric rope play,Playful and sensual rope workshop. Both for curious beginners and more experienced practitioners. We will help the person who is tied to let go of control. We do this by having solid good knots that don’t slip around and by having a very playful and present vibe. Welcome to join and explore.,Workshop/Class,Nooooope 💦,12:30:00,3:00:00,Friday 26.,Tantric Tipi,
28/06/2019 06:56:49,Vivien the Mesmerizing,Enchanting Chants - Impro voice creation together,"Community voice composition - improv singing - where our true sounds can enchant you and others. Enjoy the creation of here and now, find your own voice (no need for talent!) and let your breath come out as naturally and as beautiful, as it is. This is an event where we connect with ourselves first (body, breathing, voice...) then we progress into a community created composition. (wo. instruments)",Party/Gathering,Yes 🧸,10:00:00,2:00:00,"Monday 22., Wednesday 24., Friday 26., Sunday 28.",TEMPLE OF VISIONS,
01/07/2019 11:02:35,"QQQ - Synamon, Tom and Denisa",The Slut on a Stick Grand Championship,"Calling all strippers, poledancers and horny on-lookers! Gather round the pole and prepare for the ultimate striptease show down - a competition to crown Borderland’s queerest and naughtiest creature. To enter, just show up! Our judges will decide who takes home the fabulous grand prize. Get ready to flick your hair, jiggle your ass, spin around, strip off and get down and dirty. ",Performance,Nooooope 💦,16:00:00,2:00:00,Wednesday 24.,The Space Zirkus,
28/06/2019 10:54:13,"QQQ - Synamon, Tom and Denisa",Slut on a Stick,"Come by QQQ, unleash the stripper within and give us a show to remember. Our brand spanking new pole has both static and spinning functions and is just waiting to be christened with the queerest and filthiest dance moves. The pole is at your disposal in QQQ, Queerwood. Pole dancing mistresses Denisa and Synamon are happy to help and teach you pole moves and technique.",Performance,🤷‍♀️,10:00:00,24:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",QQQ,Event runs all-day
28/06/2019 16:17:10,Diana,Witches Morning Woman Circle,"There is so much strength in being women. There is so much to learn and to share with other women. We want to invite you to a morning circle, where we meet, interact and explore the body, mind and soul with fellow women to foster connection, sisterhood and love. We will hold this circle every day around 10, but will announce it only twice in the guide. Max. 15 women, be on time <3",Workshop/Class,Nooooope 💦,11:00:00,2:00:00,Tuesday 23.,The Witches Burn,
28/06/2019 11:16:25,ARIELLE,The Retirement Home Open House ,"Join the Elders of Whine-On at their Retirement Home Open House. Our grandkids never visit us but maybe you will. Come play B-I-N-G-O (we love to gamble), eat apple sauce, clean your diaper, judge passers-by, whine about your pension, listen to oldies (really old oldies), only drink Vermouth and more! 
",Games,🤷‍♀️,15:00:00,2:00:00,Wednesday 24.,The Retirement Home (Free camping),
28/06/2019 11:36:49,Bubbles,Morning Yoga for Ravers,"Have you been out Dancing all night or just exploring The Borderland, and not make it to bed before long after sunrise? Or do you just enjoy long mornings in you camp? Then this morning Yoga-class is for you. 
It will be a program to waking up the body and get it ready for a new day/night at the Borderland. It will take place around 2 or 3 PM,  in the afternoon. 
All are welcome. 
",Workshop/Class,Yes 🧸,14:30:00,1:00:00,Wednesday 24.,Shadow bunnies,
28/06/2019 11:41:49,Bubbles,Morning Yoga for Revers,"Have you been out Dancing all night or just exploring The Borderland, and not make it to bed before long after sunrise? Or do you just enjoy long mornings in you camp? Then this morning Yoga-class is for you. 
It will be a program to waking up the body and get it ready for a new day/night at the Borderland. It will take place around 2 or 3 PM,  in the afternoon. 
All are welcome. ",Workshop/Class,Yes 🧸,15:00:00,1:00:00,Friday 26.,Shadow bunnies,
28/06/2019 11:58:11,Camp Shadow Bunnies,The Bunny Horse Bar,"On the Ridge in the countryside of Borderland you will find the Bunny Horse Bar. Here you can get a cold drink, The one trick Pony, and tales from far and beyond. 
It is open most of the time, hosted by you friendly Shadow Bunny. 
You never know what is going to happen, and most of the time it is up to you. 
We are looking forward to serve you. 
BRING YOUR OWN CUP",Party/Gathering,🤷‍♀️,00:00:00,24:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",Shadow bunnies,Event runs all-day
28/06/2019 13:42:27,Jonas,Rebirthing with Spiritual Nomads (Breathwork),"Invitation to a magical journey with us, designed to get you out of your head and into your body, an exploration of the self and your ego.

Inspired by Leonard Orr, infused with spices from teachers and facilitators from around the Globe.

Only 100% sober participants
 
Max Participants: 12
Bring:
-          Water cup/bottle
-          Yoga or other type of mat
-          Comfortable Clothes
",Workshop/Class,🤷‍♀️,13:00:00,2:30:00,"Wednesday 24., Friday 26.",[re]connect - Spiritual Nomads - Big Tipi,
28/06/2019 15:33:12,Ab,Improv M&Ms,"Feelins, charactors, freedom, and games and games and games ... ",Games,Yes 🧸,10:45:00,1:30:00,"Wednesday 24., Thursday 25.",The Clear Frequency,
28/06/2019 15:36:40,A,Hugging time,"Come and get yourself a hug tailored for you, yes, you, so much that time will stop and run away to the play rugby with the gods 

Bring love, bread, passion, marmalade, and if you have some orange juice,  we may have tea",Care/Support,Yes 🧸,11:15:00,1:00:00,Friday 26.,The Clear Frequency,
28/06/2019 16:30:16,Psyence (Research Camp),Q&A with psychedelic scientists,"This would be an opportunity for anyone interested in psychedelics (mode of action, current research, clinical use, dangers, harm reduction etc) to come and ask questions to a panel of neuroscientists. The team from Imperial College, University of Amsterdam and our collaborators are going to offer insight into the latest discoveries about psychedelics. ",Workshop/Class,🤷‍♀️,21:00:00,1:00:00,Tuesday 23.,Research Camp (Psyence),
28/06/2019 17:57:49,Elfwings,Open Fire Jam,"Fire spinners & dancers lets gather together to spin fire!! The fire Jam is open to evryone that has a bit of experience, there will be djs from the Psychonautic chilldome playin amazing Psydub, downtempo & the best fire spinnning music!  if you wanna get to spin, come on time! Oil is provided , but not endless, if you want to spin more, bring more oil! Cheers",Fire,🤷‍♀️,22:30:00,2:30:00,"Tuesday 23., Wednesday 24., Saturday 27.",Psychonautic Chilldome,
28/06/2019 18:35:23,Cecilie,Teddy Schmeddy Bearapy,"Do you enjoy sitting by yourself in the corner supressing all your childhood trauma with a tub o' B&J? No? Well, then join us for Teddy Schmeddy Bearapy.

We'll use cuddly toys as a medium for exploring and releasing the inner voices that don't get heard and spoken often. Therapy´s never been this jolly and disturbing. Join us at the Inside//Out family in [re]connect.",Workshop/Class,🤷‍♀️,16:30:00,2:00:00,Tuesday 23.,[re]connect,
28/06/2019 18:54:38,Cecilie,FOMO Meditation,"**FOMO**
*/ˈfəʊməʊ/*
noun INFORMAL
*An omnipresent anxiety brought on by our cognitive ability to recognize potential opportunities: *
""I realized I was a lifelong sufferer of FOMO""

Explore the terrifying delight of this concept through a guided meditation. Turn your *FOMO* into *faux no* at the Inside//Out family in [re]connect.",Workshop/Class,🤷‍♀️,11:00:00,1:00:00,Thursday 25.,[re]connect,
28/06/2019 21:57:07,TinkerTom,SolarPunk discovery,"What is SolarPunk? What does an anti-capitalist utopian renewable future look like? How does the entirely solar camp kitchen work? Join us for an exploratory session of discovery of our collective dreams of a better future for all, or drop in any other time to look around a fully solar camp and see our future wall!",Workshop/Class,Yes 🧸,16:00:00,1:00:00,"Tuesday 23., Wednesday 24., Thursday 25.",SolarPunks,
28/06/2019 22:07:58,TinkerTom,Jungle drum and bass rave,"We will have a proper underground style jungle and drum and bass rave in a secret location hidden in the north near the other big sound camps, there will be signs along the road on the day to help you find it! Come to SolarPunks camp anytime in the week to book a DJ set or ask about it.",Party/Gathering,Nooooope 💦,17:00:00,8:00:00,Saturday 27.,Tom's jungle rig,
29/06/2019 13:12:20,Vejs,"""The 5 Tibetans""","Also known as the ""fountain of youth"", consists of five rites of simple yoga exercises, that increases the energy flow, and helps improve balance and flexibility. Anyone can participate! It is easy, and does not require any experience!

Monday 10:15 - 10:45
Re[connect] – Spiritual nomads – Big Tipi
Participants: 12

Bring:
-          Yoga mat (if possible)
-          Comfortable Clothes 
",Workshop/Class,Yes 🧸,10:15:00,0:30:00,Monday 22.,[re]connect,
29/06/2019 10:05:38,mjaau,Mama Kali's Bakery,"Start your day with a witch's cuddle, mouthwatering magic and a hot brew. Around 10am we hold a wee tea ritual to invite for meaningful reflections and connections",Food,Yes 🧸,09:00:00,2:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",The Witches Burn,
29/06/2019 12:10:42,Isadora,Morning Philosophy - The Dark Side,"The little devil on your shoulder, the voice in your head. The force that destroys the good things created, the beauty and the joy. The darkness between us the spawning ground for insecurity and fear. Where does it stem from? How do we address it? Should we accept it, embrace it or leave it behind. Bring you morning tea or breakfast and join a Philosopical discussion on the Dark side! ",Workshop/Class,Yes 🧸,11:00:00,1:00:00,Wednesday 24.,Kidsville: Camp Hostile,
29/06/2019 12:23:32,Isadora,Morning Philosophy - The Apocalypse ,"We’re in the world’s sixth mass extinction, the earth soil is being depleted of nutrients and poisoned, the Siberian Tundra is melting way faster then predicted, tipping points are getting closer. Strong men have grabbed the power and are capitalizing on accelerating towards the cliff edge. How do you relate? Welcome to a morning philosophy session where we ponder the dark reality of our time",Workshop/Class,Yes 🧸,11:00:00,1:00:00,Tuesday 23.,Kidsville: Camp Hostile,
29/06/2019 12:35:14,Isadora ,Morning Philosophy - The Void,"You’re the captain of your ship, you're the master of your destination... yet all of a sudden it’s all around you. The compact empty grey nothingness, the lack of energy and meaning. One third of adults suffer from some type of depression during their lifetime. What purpose does it serve? How do we relate on an individual and societal level? Welcome to a philosophical discussion about the void! ",Workshop/Class,Yes 🧸,11:00:00,1:00:00,Thursday 25.,Kidsville: Camp Hostile,
